Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
204,1.48164e-51,0.117039,5000,1,14.9355,1,0,0.0498047,0.0498047
205,1.48164e-51,0.117039,5000,1,14.9141,1,0,0.0507812,0.0507812
206,1.48164e-51,0.117039,5000,1,14.8896,1,0,0.0488281,0.0488281
207,1.48019e-51,0.117054,5000,1,14.8809,1,0,0.0585938,0.0585938
208,1.48164e-51,0.117039,5000,1,14.8799,1,0,0.0566406,0.0566406
209,1.48019e-51,0.117073,5000,0.999023,14.8916,0.999023,0,0.0546875,0.0546875
210,1.48019e-51,0.117054,5000,1,14.9121,1,0,0.0625,0.0625
211,1.48019e-51,0.117073,5000,1,14.8838,0.999023,0.000976562,0.0498047,0.0498047
212,1.48164e-51,0.117039,5000,1,14.877,1,0,0.0507812,0.0507812
213,1.48164e-51,0.117039,5000,1,14.8848,1,0,0.0400391,0.0400391
214,1.48019e-51,0.117054,5000,1,14.8701,1,0,0.0488281,0.0488281
215,1.48164e-51,0.117039,5000,1,14.873,1,0,0.0419922,0.0419922
216,1.48164e-51,0.117039,5000,1,14.8398,1,0,0.0605469,0.0605469
217,1.48019e-51,0.117054,5000,1,14.8467,1,0,0.0488281,0.0488281
218,1.48164e-51,0.117039,5000,1,14.8711,1,0,0.0517578,0.0517578
219,1.48019e-51,0.117073,5000,0.999023,14.8701,0.999023,0,0.0605469,0.0605469
220,1.48164e-51,0.117039,5000,1,14.9014,1,0,0.0644531,0.0644531
221,1.47875e-51,0.117069,5000,1,14.9043,1,0,0.0371094,0.0371094
222,1.48164e-51,0.117039,5000,1,14.9004,1,0,0.0380859,0.0380859
223,1.48164e-51,0.117039,5000,1,14.873,1,0,0.0498047,0.0498047
224,1.48019e-51,0.117073,5000,0.999023,14.8779,0.999023,0,0.0517578,0.0517578
225,1.4773e-51,0.117151,5000,0.998047,14.8838,0.998047,0,0.0419922,0.0419922
226,1.48019e-51,0.117073,5000,0.999023,14.8623,0.999023,0,0.0458984,0.0458984
227,1.48164e-51,0.117039,5000,1,14.8516,1,0,0.0458984,0.0458984
228,1.48164e-51,0.117039,5000,1,14.8369,1,0,0.0478516,0.0478516
229,1.48164e-51,0.117039,5000,1,14.8408,1,0,0.0546875,0.0546875
230,1.48019e-51,0.117073,5000,0.999023,14.8379,0.999023,0,0.0439453,0.0439453
231,1.48019e-51,0.117054,5000,1,14.8369,1,0,0.0546875,0.0546875
232,1.48019e-51,0.117073,5000,0.999023,14.8672,0.999023,0,0.0410156,0.0410156
233,1.48019e-51,0.117067,5000,1,14.8809,1,0,0.0634766,0.0634766
234,1.48019e-51,0.117073,5000,0.999023,14.8926,0.999023,0,0.0527344,0.0527344
235,1.47875e-51,0.117088,5000,0.999023,14.8818,0.999023,0,0.0488281,0.0488281
236,1.48164e-51,0.117039,5000,1,14.8838,1,0,0.0478516,0.0478516
237,1.47875e-51,0.117088,5000,0.999023,14.875,0.999023,0,0.0478516,0.0478516
238,1.48164e-51,0.117039,5000,1,14.8828,1,0,0.0498047,0.0498047
239,1.48019e-51,0.117073,5000,0.999023,14.8721,0.999023,0,0.0458984,0.0458984
240,1.48164e-51,0.117039,5000,1,14.8877,1,0,0.046875,0.046875
241,1.48164e-51,0.117039,5000,1,14.8877,1,0,0.0517578,0.0517578
242,1.48019e-51,0.117054,5000,1,14.915,1,0,0.0605469,0.0605469
